SRA_run_accession,ZfPV,zpico,zpoxv,Any
SRR13076843,False,False,False,False
SRR14340359,False,False,False,False
ERR1427045,False,False,False,False
SRR18745504,False,False,False,False
ERR1124748,False,False,False,False
ERR958926,False,False,False,False
ERR340668,False,False,False,False
ERR1620486,False,False,False,False
ERR999238,False,False,False,False
SRR9854026,False,False,False,False
ERR2154650,False,False,False,False
ERR1730567,False,False,False,False
SRR6654602,False,False,False,False
ERR1889855,False,False,False,False
SRR6469794,False,False,False,False
ERR1475800,False,False,False,False
SRR10956577,False,False,False,False
ERR3489864,False,False,False,False
ERR1124632,False,False,False,False
SRR9849246,True,False,False,True
SRR10117596,False,False,False,False
ERR1415248,False,False,False,False
SRR5893045,False,False,False,False
SRR5921144,True,True,False,True
ERR718594,False,False,False,False
SRR8485413,False,False,False,False
SRR11302465,False,False,False,False
ERR1757423,True,False,False,True
ERR960827,False,False,False,False
SRR13115086,False,False,False,False
SRR10040108,True,False,False,True
SRR14373548,False,False,False,False
SRR14924012,False,False,False,False
SRR11917472,False,False,False,False
SRR11302758,False,False,False,False
ERR853770,False,False,False,False
ERR962909,False,False,False,False
ERR1857576,False,False,False,False
SRR11427442,False,False,False,False
ERR7384917,False,False,False,False
SRR5921159,False,False,True,True
SRR10321289,False,False,False,False
SRR17547490,False,False,False,False
ERR1099471,False,False,False,False
ERR689814,False,True,False,True
ERR1396852,False,False,False,False
SRR10070650,False,False,False,False
ERR1416193,False,False,False,False
SRR6888839,False,False,False,False
ERR1108107,False,False,False,False
SRR2567890,False,False,False,False
SRR4242453,False,False,False,False
SRR8135944,False,False,False,False
SRR5931545,False,False,False,False
SRR22561328,False,False,False,False
ERR1374496,False,False,False,False
SRR7662001,False,False,False,False
ERR1108154,False,False,False,False
SRR3228725,False,False,False,False
ERR1215917,False,False,False,False
SRR11302875,False,False,False,False
ERR1730575,False,False,False,False
SRR1021213,False,False,False,False
SRR11302897,False,False,False,False
SRR12874650,False,False,False,False
SRR16292398,False,True,False,True
SRR749513,False,False,False,False
ERR853520,False,False,False,False
ERR1205264,False,False,False,False
SRR9674266,False,False,False,False
ERR1757441,False,False,False,False
ERR999225,False,False,False,False
ERR1373499,False,False,False,False
SRR17547495,False,False,False,False
ERR1858097,False,False,False,False
ERR1415031,False,False,False,False
SRR9198674,False,False,False,False
SRR12874644,False,False,False,False
SRR11303307,False,False,False,False
SRR12974172,False,False,False,False
ERR1692560,False,False,False,False
ERR2722996,False,False,False,False
SRR3381737,False,False,True,True
ERR1216167,False,False,False,False
SRR1048059,False,False,False,False
SRR17282629,False,False,False,False
ERR2455364,True,False,False,True
ERR1124494,False,False,False,False
SRR6655259,False,False,False,False
SRR19571676,False,False,False,False
ERR1889775,False,False,False,False
ERR247040,False,False,False,False
SRR5443713,False,False,False,False
ERR2723826,False,False,False,False
ERR2722969,False,False,False,False
SRR6237737,False,False,False,False
ERR958855,False,False,False,False
ERR959352,False,False,False,False
ERR573424,False,False,False,False
SRR21675907,False,False,False,False
ERR1475836,False,False,False,False
SRR10136108,False,False,False,False
SRR15049568,False,False,False,False
SRR8383272,False,False,False,False
SRR1062675,False,False,False,False
ERR2723856,False,False,False,False
SRR14270306,False,False,False,False
ERR1621402,False,False,False,False
ERR998353,False,False,False,False
ERR1888846,False,False,False,False
SRR13839964,False,False,False,False
SRR6654709,False,False,False,False
SRR2834970,False,False,True,True
ERR925756,False,False,False,False
SRR5893081,False,False,False,False
SRR3169301,False,False,True,True
SRR1062420,False,False,False,False
SRR13693860,True,False,False,True
SRR10070670,False,False,False,False
SRR12464095,False,False,False,False
ERR1204323,False,False,False,False
ERR569540,False,False,False,False
SRR8383290,False,False,False,False
SRR22404869,False,False,False,False
SRR6654572,False,False,False,False
SRR7119826,False,False,False,False
SRR10070861,False,False,False,False
ERR689860,False,True,False,True
SRR9207179,False,False,False,False
SRR11040630,False,False,False,False
SRR14144775,False,False,False,False
SRR5119936,False,False,False,False
SRR11302618,False,False,False,False
ERR2716245,False,False,False,False
ERR1730753,False,False,False,False
SRR959341,False,False,False,False
ERR1620565,False,False,False,False
ERR1442766,False,False,False,False
SRR1555573,False,False,False,False
SRR11540945,False,False,False,False
SRR1062604,False,False,False,False
ERR1888710,False,False,False,False
SRR1555552,False,False,False,False
SRR11577264,False,False,False,False
SRR12313637,False,False,False,False
SRR7613121,False,False,False,False
SRR12661695,False,False,False,False
ERR1475684,False,False,False,False
SRR12971783,False,False,False,False
SRR1565805,False,False,False,False
SRR12623493,False,False,False,False
SRR15048130,False,False,False,False
