SRA_run_accession,ZfPV,zpico,zpoxv
ERR853670,UND,UND,UND
SRR1821843,UND,UND,Low
SRR8788685,UND,UND,UND
SRR10863059,UND,UND,UND
SRR7268929,UND,UND,UND
ERR1889692,UND,UND,UND
SRR20746137,UND,Medium,UND
SRR13724941,UND,UND,UND
ERR667482,UND,UND,UND
ERR999418,UND,UND,UND
SRR6250357,UND,UND,UND
SRR519743,UND,UND,UND
SRR18516705,UND,UND,UND
ERR1216527,UND,UND,UND
ERR1442853,UND,UND,UND
ERR1124735,UND,UND,UND
ERR582901,UND,UND,UND
SRR1871880,UND,UND,UND
ERR738259,UND,UND,UND
SRR2127900,UND,UND,UND
SRR6655325,UND,UND,UND
ERR716704,UND,UND,UND
ERR999273,UND,UND,UND
ERR2723882,UND,UND,UND
ERR780049,UND,UND,UND
SRR12070790,UND,UND,UND
SRR594769,UND,UND,UND
ERR780296,UND,UND,UND
ERR853685,UND,UND,UND
SRR9674296,UND,UND,UND
SRR18927016,UND,High,UND
SRR10550535,Low,UND,UND
SRR16195488,UND,UND,UND
ERR1475552,UND,UND,UND
SRR11365199,UND,UND,UND
SRR12998954,UND,UND,UND
SRR10070845,UND,UND,UND
SRR8305637,UND,UND,UND
DRR189390,UND,Low,UND
SRR12661595,UND,UND,UND
SRR14213385,High,UND,UND
SRR10735812,UND,UND,UND
ERR959802,UND,UND,UND
ERR1408822,UND,UND,UND
ERR959353,UND,UND,UND
ERR1373384,UND,UND,UND
ERR1216454,UND,UND,UND
SRR1062298,UND,UND,UND
SRR10136109,UND,UND,UND
ERR1888988,UND,UND,UND
SRR10126093,UND,UND,UND
ERR853486,UND,UND,UND
SRR6469780,UND,UND,UND
SRR3231323,UND,UND,UND
ERR958908,UND,UND,UND
SRR10151798,UND,UND,UND
SRR8928840,UND,UND,UND
ERR1205267,UND,UND,UND
ERR1889093,UND,UND,UND
SRR870749,UND,UND,UND
ERR1108049,UND,UND,UND
ERR1757556,UND,UND,UND
ERR998220,UND,UND,UND
SRR6250210,UND,UND,UND
SRR6468809,UND,UND,UND
ERR999294,UND,UND,UND
ERR960182,UND,UND,UND
SRR22018608,UND,UND,UND
ERR1621681,UND,UND,UND
SRR5810743,UND,UND,UND
ERR959615,UND,UND,UND
SRR10852226,UND,UND,UND
ERR2304206,UND,Medium,UND
ERR1124658,UND,UND,UND
SRR8788713,UND,UND,UND
SRR17248529,UND,Medium,UND
SRR3231354,UND,UND,UND
SRR6469473,UND,UND,UND
SRR850601,UND,Low,UND
ERR1251945,UND,UND,UND
SRR10344674,UND,UND,UND
SRR13565145,UND,UND,UND
SRR1555595,UND,UND,UND
SRR9850665,UND,UND,UND
ERR1374484,UND,UND,UND
ERR2723876,UND,UND,UND
SRR9198813,UND,UND,UND
SRR22270149,UND,UND,UND
ERR1888376,UND,UND,UND
SRR11303104,UND,UND,UND
SRR3207420,UND,UND,UND
SRR11590413,UND,Low,UND
ERR1416125,UND,UND,UND
ERR962925,UND,UND,UND
SRR5979256,UND,Medium,UND
ERR871489,UND,UND,UND
ERR780139,UND,UND,UND
ERR871585,UND,UND,UND
SRR8312798,UND,UND,UND
SRR11305418,UND,UND,UND
ERR1427071,UND,UND,UND
SRR15600926,UND,UND,UND
SRR18820776,UND,UND,UND
ERR1204444,UND,UND,UND
SRR17282626,UND,UND,UND
ERR853531,UND,UND,UND
ERR960016,UND,UND,UND
ERR3446731,UND,UND,UND
ERR958776,UND,UND,UND
ERR1374652,UND,UND,UND
SRR9849276,UND,UND,High
SRR14703444,UND,UND,UND
SRR8106586,UND,UND,UND
ERR853688,UND,UND,UND
SRR2834937,UND,UND,UND
ERR659948,UND,UND,UND
ERR960834,UND,UND,UND
SRR8526609,Medium,UND,UND
ERR1427090,UND,UND,UND
ERR035546,UND,High,UND
ERR1203508,UND,UND,UND
SRR1871879,UND,UND,UND
ERR1621680,UND,UND,UND
SRR8106674,UND,UND,UND
ERR1475542,UND,UND,UND
SRR7789568,UND,UND,UND
ERR1427399,UND,UND,UND
SRR19641861,UND,UND,UND
ERR1108209,UND,UND,UND
ERR492332,UND,UND,UND
ERR2722989,UND,UND,UND
ERR573431,UND,UND,UND
SRR7061300,UND,UND,UND
ERR1621652,UND,UND,UND
SRR12083052,UND,UND,UND
ERR590751,UND,UND,UND
SRR9198734,UND,UND,UND
ERR1416194,UND,UND,UND
SRR8663334,UND,UND,UND
SRR11302885,UND,UND,UND
SRR11033818,UND,UND,UND
SRR17247906,UND,UND,UND
SRR6655256,UND,UND,UND
SRR10527611,UND,UND,UND
ERR1407663,UND,UND,UND
SRR6655129,UND,UND,UND
SRR6176639,UND,UND,UND
ERR273880,UND,UND,UND
SRR12194821,UND,UND,UND
ERR1251944,UND,UND,UND
ERR2146925,UND,UND,UND
ERR1108720,UND,UND,UND
ERR1204389,UND,UND,UND
ERR1374578,UND,UND,UND
ERR1620578,UND,UND,UND
ERR737732,UND,UND,UND
SRR10151945,UND,UND,UND
ERR1205337,UND,UND,UND
SRR11214454,UND,UND,UND
SRR12708428,UND,UND,Medium
ERR1204430,UND,UND,UND
SRR13080692,UND,UND,UND
SRR6468773,UND,UND,UND
SRR11092494,UND,UND,UND
SRR12037499,UND,UND,UND
ERR4321719,UND,UND,UND
ERR1107976,UND,UND,UND
SRR6249984,UND,UND,UND
SRR5320525,UND,UND,UND
ERR959129,UND,UND,UND
SRR13565162,UND,UND,UND
SRR8182174,UND,UND,UND
ERR1888369,UND,UND,UND
ERR1218336,UND,UND,UND
SRR1524246,UND,UND,UND
SRR11302650,UND,UND,UND
ERR738223,UND,UND,UND
