SRA_run_accession,count
SRR20083912,255136
SRR19667657,161546
SRR8883827,68788
ERR7131153,717477
SRR6477201,582356
SRR6890853,84693
ERR1122828,95088
SRR7662011,39428
ERR1108544,258870
SRR18267558,250640
SRR6468899,169122
ERR1730722,17480
ERR1410137,336566
ERR1857787,27998
SRR2177445,540200
ERR1124571,516932
SRR10887452,400240
ERR1889492,416004
ERR689836,56356
SRR17499143,125365
ERR1069147,183972
SRR11777171,211351
ERR525388,8890
ERR1216542,73126
ERR1888654,33384
SRR4199306,252738
ERR1215575,128
SRR18220755,41946
ERR670991,76706
SRR12037434,18215
SRR6654396,8668
SRR7549094,338564
SRR16299426,4390
SRR16973869,205892
SRR1167754,211710
ERR4091977,250822
ERR780105,145052
SRR10902869,288478
SRR21228031,206934
SRR886446,376928
SRR14213394,65331
ERR959587,868
ERR959059,2384
SRR8632325,133883
SRR9207159,431918
ERR960885,2784
SRR1872642,18368
ERR596680,22600
SRR12554279,1423530
SRR3083698,215732
ERR1475489,26580
ERR1888767,114860
SRR5810902,574
ERR1442564,15234
ERR1216006,156890
SRR1049955,199508
SRR11858753,277724
SRR6654566,30843
SRR9211498,159276
SRR12037378,84758
SRR19638111,356086
ERR1475811,59576
SRR9674286,141842
ERR1414828,68088
ERR1124661,344776
SRR21228021,98914
ERR1889809,230512
ERR667632,54876
ERR411471,795692
ERR2723865,170198
ERR2146955,87282
SRR14713042,246605
ERR1621536,71532
SRR5235637,278256
SRR5975627,1823177
SRR7119802,3143084
SRR9198687,12966
ERR3266390,25968
SRR6654343,8641
ERR1252077,17080
SRR14923955,103357
SRR7789580,2076
ERR1857646,29720
SRR5398201,204894
ERR1251949,16174
SRR16964675,287084
ERR1099561,110638
SRR22207163,177530
SRR6289645,242177
SRR11303026,82
SRR5494312,720144
SRR7268817,122904
SRR6654565,29213
ERR657527,62800
SRR19671823,154178
ERR960211,18160
SRR8787575,95519
ERR697911,61364
SRR8788642,561386
SRR1872774,19062
SRR6268049,39692
SRR3932200,137762
SRR870841,169152
SRR6654901,10037
SRR5418457,5808
ERR2722982,175624
SRR1872636,20886
SRR7268946,153896
ERR202546,394
SRR17630949,157267
ERR853499,36174
SRR10095967,237182
SRR13594954,7154
SRR2087779,163936
SRR10070633,9582
SRR1872411,54
SRR19641872,534200
SRR20283711,62468
ERR1374666,14304
SRR8377213,65490
ERR1407655,23818
SRR12890230,381630
SRR15048184,216830
ERR2723320,65792
